Family,Genus,Species,verbatimSpecies,WS_L_Fem,WS_U_Fem,WS_L_Mal,WS_U_Mal,WS_L,WS_U,FW_L_Fem,FW_U_Fem,FW_L_Mal,FW_U_Mal,FW_L,FW_U,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,FlightDuration,DiapauseStage,Voltinism,OvipositionStyle,CanopyAffinity,EdgeAffinity,MoistureAffinity,DisturbanceAffinity,NumberOfHostplantFamilies,SoleHostplantFamily,PrimaryHostplantFamily,SecondaryHostplantFamily,EqualHostplantFamily,NumberOfHostplantAccounts,DateCreated
Hesperiidae,Abantis,Abantis arctomarginata,Abantis arctomarginata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,1,0,0,0,3,NA,NA,NA,Open canopy,NA,NA,NA,1,Phyllanthaceae,,,,1,3/9/2022 15:23
Hesperiidae,Abantis,Abantis bamptoni,Abantis bamptoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,1,1,1,1,8,NA,NA,NA,Mixed canopy (open affinity),NA,NA,NA,1,Phyllanthaceae,,,,1,3/9/2022 15:23
Hesperiidae,Abantis,Abantis bergeri,Abantis bergeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,Mixed canopy (open affinity),NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Abantis,Abantis bicolor,Abantis bicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0,2,NA,B,NA,Canopy generalist,Edge-associated (strong),No evidence for moisture association,NA,1,Malvaceae,,,,1,3/9/2022 15:23
Hesperiidae,Abantis,Abantis bismarcki,Abantis bismarcki,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed canopy (open affinity),Edge association varies,Xeric-associated (strong),NA,1,Phyllanthaceae,,,,1,3/9/2022 15:23
Hesperiidae,Abantis,Abantis contigua,Abantis contigua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,Mixed canopy (open affinity),NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Abantis,Abantis elegantula,Abantis elegantula,NA,4.1,3.8,3.9,2.689,3.2465,NA,NA,NA,NA,1.778,2.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canopy generalist,Edge-avoidant (strong),Xeric-associated (strong),NA,1,Fabaceae,,,,1,3/9/2022 15:23
Hesperiidae,Abantis,Abantis elegantula,Abantis venosa,NA,4.1,3.8,3.9,2.689,3.662,NA,NA,NA,NA,1.778,2.286,1,1,1,1,1,1,1,1,1,1,1,1,12,NA,M,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Xeric-associated (weak),NA,2,,Malvaceae,Fabaceae,,2,3/9/2022 15:23
Hesperiidae,Abantis,Abantis ituri,Abantis ituri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Closed canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Abantis,Abantis ja,Abantis ja,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,2,NA,NA,NA,Closed canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
